"id","city","date","player_of_match","venue","neutral_venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","eliminater","method","umpire1","umpire2"
335982,"Bangalore","2008-04-18","BB McCullum","M Chinnaswamy Stadium",0,"Royal Challengers Bangalore","Kolkata Knight Riders","Royal Challengers Bangalore","field","Kolkata Knight Riders","runs",140,"N","NA","Asad Rauf","RE Koertzen"
335983,"Chandigarh","2008-04-19","MEK Hussey","Punjab Cricket Association Stadium, Mohali",0,"Kings XI Punjab","Chennai Super Kings","Chennai Super Kings","bat","Chennai Super Kings","runs",33,"N","NA","MR Benson","SL Shastri"
335984,"Delhi","2008-04-19","MF Maharoof","Feroz Shah Kotla",0,"Delhi Daredevils","Rajasthan Royals","Rajasthan Royals","bat","Delhi Daredevils","wickets",9,"N","NA","Aleem Dar","GA Pratapkumar"
335985,"Mumbai","2008-04-20","MV Boucher","Wankhede Stadium",0,"Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians","bat","Royal Challengers Bangalore","wickets",5,"N","NA","SJ Davis","DJ Harper"
335986,"Kolkata","2008-04-20","DJ Hussey","Eden Gardens",0,"Kolkata Knight Riders","Deccan Chargers","Deccan Chargers","bat","Kolkata Knight Riders","wickets",5,"N","NA","BF Bowden","K Hariharan"
335987,"Jaipur","2008-04-21","SR Watson","Sawai Mansingh Stadium",0,"Rajasthan Royals","Kings XI Punjab","Kings XI Punjab","bat","Rajasthan Royals","wickets",6,"N","NA","Aleem Dar","RB Tiffin"
335988,"Hyderabad","2008-04-22","V Sehwag","Rajiv Gandhi International Stadium, Uppal",0,"Deccan Chargers","Delhi Daredevils","Deccan Chargers","bat","Delhi Daredevils","wickets",9,"N","NA","IL Howell","AM Saheba"
335989,"Chennai","2008-04-23","ML Hayden","MA Chidambaram Stadium, Chepauk",0,"Chennai Super Kings","Mumbai Indians","Mumbai Indians","field","Chennai Super Kings","runs",6,"N","NA","DJ Harper","GA Pratapkumar"
335990,"Hyderabad","2008-04-24","YK Pathan","Rajiv Gandhi International Stadium, Uppal",0,"Deccan Chargers","Rajasthan Royals","Rajasthan Royals","field","Rajasthan Royals","wickets",3,"N","NA","Asad Rauf","MR Benson"
335991,"Chandigarh","2008-04-25","KC Sangakkara","Punjab Cricket Association Stadium, Mohali",0,"Kings XI Punjab","Mumbai Indians","Mumbai Indians","field","Kings XI Punjab","runs",66,"N","NA","Aleem Dar","AM Saheba"
335992,"Bangalore","2008-04-26","SR Watson","M Chinnaswamy Stadium",0,"Royal Challengers Bangalore","Rajasthan Royals","Rajasthan Royals","field","Rajasthan Royals","wickets",7,"N","NA","MR Benson","IL Howell"
335993,"Chennai","2008-04-26","JDP Oram","MA Chidambaram Stadium, Chepauk",0,"Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","bat","Chennai Super Kings","wickets",9,"N","NA","BF Bowden","AV Jayaprakash"
335994,"Mumbai","2008-04-27","AC Gilchrist","Dr DY Patil Sports Academy",0,"Mumbai Indians","Deccan Chargers","Deccan Chargers","field","Deccan Chargers","wickets",10,"N","NA","Asad Rauf","SL Shastri"
335995,"Chandigarh","2008-04-27","SM Katich","Punjab Cricket Association Stadium, Mohali",0,"Kings XI Punjab","Delhi Daredevils","Delhi Daredevils","bat","Kings XI Punjab","wickets",4,"N","NA","RE Koertzen","I Shivram"
335996,"Bangalore","2008-04-28","MS Dhoni","M Chinnaswamy Stadium",0,"Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings","bat","Chennai Super Kings","runs",13,"N","NA","BR Doctrove","RB Tiffin"
335997,"Kolkata","2008-04-29","ST Jayasuriya","Eden Gardens",0,"Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","bat","Mumbai Indians","wickets",7,"N","NA","BF Bowden","AV Jayaprakash"
335998,"Delhi","2008-04-30","GD McGrath","Feroz Shah Kotla",0,"Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Delhi Daredevils","runs",10,"N","NA","Aleem Dar","I Shivram"
335999,"Hyderabad","2008-05-01","SE Marsh","Rajiv Gandhi International Stadium, Uppal",0,"Deccan Chargers","Kings XI Punjab","Kings XI Punjab","field","Kings XI Punjab","wickets",7,"N","NA","BR Doctrove","RB Tiffin"
336000,"Jaipur","2008-05-01","SA Asnodkar","Sawai Mansingh Stadium",0,"Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","bat","Rajasthan Royals","runs",45,"N","NA","RE Koertzen","GA Pratapkumar"
336001,"Chennai","2008-05-02","V Sehwag","MA Chidambaram Stadium, Chepauk",0,"Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","bat","Delhi Daredevils","wickets",8,"N","NA","BF Bowden","K Hariharan"
