id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2
392190,"Cape Town",23-04-2009,"YK Pathan",Newlands,1,"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders",field,"Rajasthan Royals",tie,0,Y,NA,"MR Benson","M Erasmus"
419121,Chennai,21-03-2010,"J Theron","MA Chidambaram Stadium, Chepauk",0,"Chennai Super Kings","Kings XI Punjab","Chennai Super Kings",field,"Kings XI Punjab",tie,0,Y,NA,"K Hariharan","DJ Harper"
598004,Hyderabad,07-04-2013,"GH Vihari","Rajiv Gandhi International Stadium, Uppal",0,"Sunrisers Hyderabad","Royal Challengers Bangalore","Royal Challengers Bangalore",bat,"Sunrisers Hyderabad",tie,0,Y,NA,"AK Chaudhary","S Ravi"
598017,Bangalore,16-04-2013,"V Kohli","M Chinnaswamy Stadium",0,"Royal Challengers Bangalore","Delhi Daredevils","Royal Challengers Bangalore",field,"Royal Challengers Bangalore",tie,0,Y,NA,"M Erasmus","VA Kulkarni"
729315,"Abu Dhabi",29-04-2014,"JP Faulkner","Sheikh Zayed Stadium",1,"Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals",bat,"Rajasthan Royals",tie,0,Y,NA,"Aleem Dar","AK Chaudhary"
829741,Ahmedabad,21-04-2015,"SE Marsh","Sardar Patel Stadium, Motera",0,"Rajasthan Royals","Kings XI Punjab","Kings XI Punjab",field,"Kings XI Punjab",tie,0,Y,NA,"M Erasmus","S Ravi"
1082625,Rajkot,29-04-2017,"KH Pandya","Saurashtra Cricket Association Stadium",0,"Gujarat Lions","Mumbai Indians","Gujarat Lions",bat,"Mumbai Indians",tie,0,Y,NA,"AK Chaudhary","CB Gaffaney"
1175365,Delhi,30-03-2019,"PP Shaw","Feroz Shah Kotla",0,"Delhi Capitals","Kolkata Knight Riders","Delhi Capitals",field,"Delhi Capitals",tie,0,Y,NA,"AY Dandekar","Nitin Menon"
1178426,Mumbai,02-05-2019,"JJ Bumrah","Wankhede Stadium",0,"Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians",bat,"Mumbai Indians",tie,0,Y,NA,"CK Nandan","S Ravi"
1216493,Dubai,20-09-2020,"MP Stoinis","Dubai International Cricket Stadium",0,"Delhi Capitals","Kings XI Punjab","Kings XI Punjab",field,"Delhi Capitals",tie,0,Y,NA,"AK Chaudhary","Nitin Menon"
1216512,"Abu Dhabi",18-10-2020,"LH Ferguson","Sheikh Zayed Stadium",0,"Kolkata Knight Riders","Sunrisers Hyderabad","Sunrisers Hyderabad",field,"Kolkata Knight Riders",tie,0,Y,NA,"PG Pathak","S Ravi"
1216517,Dubai,18-10-2020,"KL Rahul","Dubai International Cricket Stadium",0,"Mumbai Indians","Kings XI Punjab","Mumbai Indians",bat,"Kings XI Punjab",tie,0,Y,NA,"Nitin Menon","PR Reiffel"
1216547,Dubai,28-09-2020,"AB de Villiers","Dubai International Cricket Stadium",0,"Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians",field,"Royal Challengers Bangalore",tie,0,Y,NA,"Nitin Menon","PR Reiffel"
